Date	Time	Open	High	Low	Close	TickVolume	Volume	Spread
2018.05.30	23:00:00	108.937	108.937	108.864	108.903	1299	0	1
2018.05.31	00:00:00	108.903	108.906	108.812	108.892	5333	0	1
2018.05.31	01:00:00	108.892	108.892	108.782	108.824	1356	0	1
2018.05.31	02:00:00	108.824	108.833	108.703	108.727	1272	0	1
2018.05.31	03:00:00	108.728	108.737	108.535	108.716	6454	0	1
2018.05.31	04:00:00	108.715	108.724	108.539	108.572	3862	0	1
2018.05.31	05:00:00	108.572	108.701	108.570	108.634	1984	0	1
2018.05.31	06:00:00	108.634	108.805	108.634	108.764	2577	0	1
2018.05.31	07:00:00	108.764	108.792	108.682	108.707	1866	0	1
2018.05.31	08:00:00	108.707	108.850	108.640	108.789	3179	0	1
2018.05.31	09:00:00	108.789	108.802	108.622	108.623	6160	0	1
2018.05.31	10:00:00	108.623	108.772	108.567	108.760	8231	0	1
2018.05.31	11:00:00	108.760	108.942	108.672	108.942	4853	0	1
2018.05.31	12:00:00	108.942	109.003	108.809	108.841	4206	0	1
2018.05.31	13:00:00	108.841	108.947	108.803	108.929	3452	0	1
2018.05.31	14:00:00	108.928	108.936	108.815	108.852	2888	0	1
2018.05.31	15:00:00	108.852	108.924	108.754	108.817	5494	0	1
2018.05.31	16:00:00	108.817	108.820	108.456	108.466	9759	0	1
2018.05.31	17:00:00	108.466	108.659	108.384	108.629	10952	0	1
2018.05.31	18:00:00	108.629	108.835	108.569	108.725	12568	0	1
2018.05.31	19:00:00	108.725	108.771	108.659	108.735	4377	0	1
2018.05.31	20:00:00	108.735	108.876	108.660	108.665	3877	0	1
2018.05.31	21:00:00	108.665	108.711	108.614	108.632	3162	0	1
2018.05.31	22:00:00	108.632	108.789	108.632	108.780	3452	0	1
2018.05.31	23:00:00	108.780	108.857	108.768	108.802	1856	0	1
2018.06.01	00:00:00	108.802	108.822	108.769	108.771	1977	0	3
2018.06.01	01:00:00	108.771	108.837	108.764	108.771	1324	0	1
2018.06.01	02:00:00	108.771	108.786	108.720	108.786	1535	0	1
2018.06.01	03:00:00	108.786	108.935	108.753	108.863	4483	0	1
2018.06.01	04:00:00	108.863	109.195	108.730	109.049	9068	0	1
2018.06.01	05:00:00	109.048	109.168	109.011	109.161	3424	0	1
2018.06.01	06:00:00	109.161	109.240	109.145	109.155	2341	0	1
2018.06.01	07:00:00	109.155	109.168	109.068	109.104	1764	0	1
2018.06.01	08:00:00	109.106	109.126	109.032	109.066	2325	0	1
2018.06.01	09:00:00	109.066	109.224	109.066	109.162	5136	0	1
2018.06.01	10:00:00	109.162	109.234	109.107	109.195	5582	0	1
2018.06.01	11:00:00	109.195	109.211	109.073	109.209	2792	0	1
2018.06.01	12:00:00	109.209	109.270	109.157	109.265	2686	0	1
2018.06.01	13:00:00	109.265	109.304	109.180	109.185	3167	0	1
2018.06.01	14:00:00	109.185	109.439	109.173	109.438	3051	0	1
2018.06.01	15:00:00	109.437	109.694	109.406	109.685	9865	0	1
2018.06.01	16:00:00	109.684	109.734	109.595	109.715	6558	0	1
2018.06.01	17:00:00	109.715	109.725	109.455	109.551	10380	0	1
2018.06.01	18:00:00	109.551	109.595	109.426	109.495	4607	0	1
2018.06.01	19:00:00	109.495	109.530	109.461	109.490	1784	0	1
2018.06.01	20:00:00	109.490	109.536	109.456	109.518	1260	0	1
2018.06.01	21:00:00	109.518	109.529	109.420	109.505	2150	0	1
2018.06.01	22:00:00	109.504	109.582	109.497	109.580	1782	0	1
2018.06.01	23:00:00	109.580	109.581	109.454	109.529	1028	0	1
2018.06.04	00:00:00	109.420	109.473	109.410	109.471	168	0	6
2018.06.04	01:00:00	109.472	109.552	109.471	109.551	1061	0	2
2018.06.04	02:00:00	109.551	109.617	109.478	109.603	1602	0	2
2018.06.04	03:00:00	109.603	109.763	109.562	109.725	7674	0	1
2018.06.04	04:00:00	109.725	109.731	109.554	109.602	3976	0	1
2018.06.04	05:00:00	109.601	109.652	109.591	109.623	1895	0	1
2018.06.04	06:00:00	109.623	109.653	109.602	109.609	1444	0	1
2018.06.04	07:00:00	109.609	109.633	109.589	109.622	1186	0	1
2018.06.04	08:00:00	109.622	109.698	109.608	109.626	1642	0	1
2018.06.04	09:00:00	109.626	109.724	109.603	109.655	4032	0	1
2018.06.04	10:00:00	109.655	109.658	109.515	109.583	4407	0	2
2018.06.04	11:00:00	109.583	109.584	109.457	109.531	3257	0	1
2018.06.04	12:00:00	109.531	109.640	109.494	109.615	3220	0	1
2018.06.04	13:00:00	109.615	109.639	109.502	109.507	2338	0	1
2018.06.04	14:00:00	109.507	109.535	109.444	109.451	1698	0	1
2018.06.04	15:00:00	109.450	109.526	109.369	109.510	2967	0	1
2018.06.04	16:00:00	109.510	109.601	109.468	109.574	2932	0	1
2018.06.04	17:00:00	109.574	109.653	109.460	109.639	4022	0	0
2018.06.04	18:00:00	109.640	109.724	109.623	109.662	3836	0	1
2018.06.04	19:00:00	109.662	109.744	109.656	109.688	1831	0	1
2018.06.04	20:00:00	109.688	109.744	109.652	109.707	1519	0	1
2018.06.04	21:00:00	109.707	109.745	109.672	109.735	1422	0	1
2018.06.04	22:00:00	109.735	109.836	109.714	109.829	1357	0	1
2018.06.04	23:00:00	109.829	109.851	109.805	109.812	644	0	1
2018.06.05	00:00:00	109.807	109.809	109.768	109.802	1889	0	1
2018.06.05	01:00:00	109.803	109.905	109.793	109.898	1354	0	1
2018.06.05	02:00:00	109.898	109.991	109.890	109.964	1434	0	2
2018.06.05	03:00:00	109.966	109.980	109.800	109.883	4876	0	1
2018.06.05	04:00:00	109.883	109.927	109.845	109.882	4119	0	1
2018.06.05	05:00:00	109.882	109.898	109.771	109.884	2737	0	1
2018.06.05	06:00:00	109.884	109.889	109.830	109.875	1451	0	2
2018.06.05	07:00:00	109.875	109.985	109.829	109.950	2263	0	1
2018.06.05	08:00:00	109.950	110.002	109.846	109.859	3537	0	1
2018.06.05	09:00:00	109.859	109.901	109.792	109.792	2922	0	1
2018.06.05	10:00:00	109.792	109.892	109.728	109.822	3771	0	1
2018.06.05	11:00:00	109.822	109.847	109.742	109.746	3044	0	1
2018.06.05	12:00:00	109.746	109.816	109.739	109.758	2619	0	1
2018.06.05	13:00:00	109.758	109.810	109.701	109.806	2258	0	1
2018.06.05	14:00:00	109.806	109.811	109.736	109.753	1919	0	1
2018.06.05	15:00:00	109.752	109.772	109.651	109.673	3582	0	1
2018.06.05	16:00:00	109.674	109.802	109.600	109.790	3296	0	1
2018.06.05	17:00:00	109.790	109.901	109.756	109.819	4123	0	1
2018.06.05	18:00:00	109.819	109.823	109.571	109.633	4638	0	1
2018.06.05	19:00:00	109.633	109.703	109.471	109.572	5118	0	1
2018.06.05	20:00:00	109.572	109.677	109.558	109.601	2023	0	1
2018.06.05	21:00:00	109.601	109.760	109.599	109.754	1161	0	1
2018.06.05	22:00:00	109.754	109.760	109.703	109.726	1305	0	1
2018.06.05	23:00:00	109.726	109.815	109.725	109.773	1134	0	1
2018.06.06	00:00:00	109.769	109.836	109.769	109.834	2043	0	1
2018.06.06	01:00:00	109.834	109.873	109.818	109.826	985	0	1
2018.06.06	02:00:00	109.826	109.902	109.799	109.886	2605	0	2
2018.06.06	03:00:00	109.886	109.940	109.791	109.824	3851	0	1
2018.06.06	04:00:00	109.824	109.917	109.820	109.866	2555	0	1
2018.06.06	05:00:00	109.866	109.892	109.814	109.830	1687	0	1
2018.06.06	06:00:00	109.830	109.879	109.830	109.858	1010	0	2
2018.06.06	07:00:00	109.858	109.969	109.855	109.936	1698	0	1
2018.06.06	08:00:00	109.936	109.966	109.885	109.885	1848	0	1
2018.06.06	09:00:00	109.883	110.065	109.857	110.019	4953	0	1
2018.06.06	10:00:00	110.020	110.146	110.017	110.073	7600	0	1
2018.06.06	11:00:00	110.073	110.087	110.010	110.057	3836	0	1
